delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials_2.key_resp.keys,trials_2.key_resp.rt,trials_2.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials_2.textbox.text,trials_2.button.numClicks,trials_2.button.timesOn,trials_2.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,400,unexp,135,3,11,space,0.6018079580389895,None,300,1,[3.4630668749450706],[3.4630720829591155],11,3,135,0,729.0425981660374,,729.0371305830195,729.0425981660374,730.0336238750024,730.0336238750024,730.0336238750024,730.6460722910124,space,0.6018079580389895,None,730.647883333033,730.7497010827103,731.0574979160447,731.0397833330208,731.0412830830319,731.0574979160447,731.0574979160447,731.0574979160447,734.5208598750178,300,1,[3.4630668749450706],[3.4630720829591155],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,136,4,11,space,0.8843551239697263,None,700,1,[3.556526041997131],[3.5565317919827066],11,4,136,5,734.5265182500007,,734.5210562500288,734.5265182500007,735.5179789160029,735.5179789160029,735.5179789160029,736.4125425410457,space,0.8843551239697263,None,736.4139357910026,737.1171078746595,737.4230017500231,737.4055441250093,737.4072416250128,737.4230017500231,737.4230017500231,737.4230017500231,740.9798244160484,700,1,[3.556526041997131],[3.5565317919827066],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,137,5,11,space,0.3880114990170114,None,800,1,[1.237831707985606],[1.2378371249651536],11,5,137,8,740.9851500830264,,740.980016000045,740.9851500830264,741.9772210410447,741.9772210410447,741.9836397500476,742.3681310830289,space,0.3880114990170114,None,742.3693442910444,743.0672730826811,743.3727416660404,743.3560564159998,743.357798083045,743.3727416660404,743.3727416660404,743.3727416660404,744.6108562910231,800,1,[1.237831707985606],[1.2378371249651536],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,400,unexp,138,6,11,space,0.9024403329822235,None,500,1,[2.471337124996353],[2.471342624980025],11,6,138,1,744.6158663750393,,744.6110440830234,744.6158663750393,745.6008470830275,745.6008470830275,745.6105932500213,746.5123005830101,space,0.9024403329822235,None,746.5139686660259,746.9177312916765,747.2228761250153,747.2059514580178,747.2077383750002,747.2228761250153,747.2228761250153,747.2228761250153,749.6945002080174,500,1,[2.471337124996353],[2.471342624980025],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,139,7,11,space,0.6382307499879971,None,400,1,[3.9137859999900684],[3.913791582977865],11,7,139,4,749.7102710410254,,749.6946940000053,749.7102710410254,750.6850294159958,750.6850294159958,750.698986708012,751.3287684580428,space,0.6382307499879971,None,751.3304065000266,751.7342141246811,752.0401642500074,752.0224983750377,752.0242307500448,752.0401642500074,752.0401642500074,752.0401642500074,755.9542257499998,400,1,[3.9137859999900684],[3.913791582977865],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,140,8,11,space,1.2526268740184605,None,300,1,[2.998283207998611],[2.998287957976572],11,8,140,6,755.9600936250063,,755.9544180000084,755.9600936250063,756.9505749579985,756.9505749579985,756.9505749579985,758.2124600000097,space,1.2526268740184605,None,758.2139455830329,758.3177662076816,758.6226118750055,758.6063051660312,758.6077193330275,758.6226118750055,758.6226118750055,758.6226118750055,761.6211898330366,300,1,[2.998283207998611],[2.998287957976572],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.7,1000,exp,141,9,11,space,1.8383221659460105,None,100,1,[1.8571919999667443],[1.857197624980472],11,9,141,11,761.6262546660146,,761.6213909999933,761.6262546660146,762.6178069580346,762.6178069580346,762.6178069580346,764.4628052500193,space,1.8383221659460105,None,764.4643441660446,765.1674408746806,765.4733805410215,765.4565380830318,765.4579172080266,765.4733805410215,765.4733805410215,765.4733805410215,767.3308556660195,100,1,[1.8571919999667443],[1.857197624980472],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,142,10,11,space,1.0137459159595892,None,100,1,[1.1739637920400128],[1.1739691670518368],11,10,142,9,767.3437145409989,,767.3310421250062,767.3437145409989,768.3273706250475,768.3273706250475,768.3341427910491,769.3460895000026,space,1.0137459159595892,None,769.3476179580321,769.4506574576992,769.7568327080226,769.7397400829941,769.7411163329962,769.7568327080226,769.7568327080226,769.7568327080226,770.9310870830086,100,1,[1.1739637920400128],[1.1739691670518368],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.4,1000,exp,143,11,11,space,1.4027017069747671,None,100,1,[0.9870436660130508],[0.9870494580245577],11,11,143,7,770.9438045410207,,770.931277708034,770.9438045410207,771.9273603750044,771.9273603750044,771.9342724159942,773.3350093330373,space,1.4027017069747671,None,773.3363266660017,773.734405874686,774.0405109580024,774.0232774160104,774.024678250018,774.0405109580024,774.0405109580024,774.0405109580024,775.0278423330165,100,1,[0.9870436660130508],[0.9870494580245577],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
0.1,1000,exp,144,0,12,space,0.7571712909848429,None,200,1,[2.0478345000301488],[2.047839834005572],12,0,144,9,775.0439325830084,,775.0280280830339,775.0439325830084,776.0179089159938,776.0179089159938,776.0340739579988,776.7794561250485,space,0.7571712909848429,None,776.7808645000332,776.8827142496632,777.1895764160436,777.1728274160414,777.1742139160051,777.1895764160436,777.1895764160436,777.1895764160436,779.2376940830145,200,1,[2.0478345000301488],[2.047839834005572],P1,001,2025-11-11_20h54.28.783,IntentionalBinding_NupurShah,,2025.1.1,120.24644457095427,2025-11-11 20h54.39.512828 +0530,
