trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,target.started,cue_arrow.stopped,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
8,valid,right,100,150,1000,19,19,0,m,1,0.14098612498492002,None,0,19,19,7,45.105654417013284,,,,,,,,,45.09646879200591,45.105654417013284,45.105654417013284,45.105654417013284,45.59029579197522,45.59634724998614,45.59634724998614,45.59634724998614,45.6907055840129,45.67899145901902,45.84034649998648,45.99211854196619,m,1,0.14098612498492002,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
43,invalid,right,50,150,1000,20,20,0,m,1,0.20116454100934789,None,0,20,20,42,46.00449079199461,,,,,,,,,45.996478000015486,46.00449079199461,46.00449079199461,46.00449079199461,46.49019874999067,46.496129583974835,46.496129583974835,46.496129583974835,46.590472667012364,46.52885941701243,46.69016441697022,46.89892249996774,m,1,0.20116454100934789,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
24,valid,left,150,150,1000,21,21,0,z,1,0.11934529099380597,None,0,21,21,23,46.91149949998362,,,,,,,,,46.89989704202162,46.91149949998362,46.91149949998362,46.91149949998362,47.39701266697375,47.406937874970026,47.406937874970026,47.406937874970026,47.49796362500638,47.54029866697965,47.69691312499344,47.82594304200029,z,1,0.11934529099380597,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
80,valid,left,100,150,1000,22,22,0,z,1,0.16586170898517594,None,0,22,22,79,47.837552958983,,,,,,,,,47.827139124972746,47.837552958983,47.837552958983,47.837552958983,48.32382845901884,48.330518167000264,48.330518167000264,48.330518167000264,48.42380312498426,48.41214141697856,48.57357766700443,48.74219183396781,z,1,0.16586170898517594,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
57,valid,left,100,150,1000,23,23,0,z,1,0.18738279200624675,None,0,23,23,56,48.75235183397308,,,,,,,,,48.743104209017474,48.75235183397308,48.75235183397308,48.75235183397308,49.24044366698945,49.246814667014405,49.246814667014405,49.246814667014405,49.340268458996434,49.32888633396942,49.490996917011216,49.68130633397959,z,1,0.18738279200624675,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
45,valid,right,150,150,1000,24,24,0,m,1,0.06889275001594797,None,0,24,24,44,49.69352450000588,,,,,,,,,49.68571470899042,49.69352450000588,49.69352450000588,49.69352450000588,50.181708084011916,50.190430084010586,50.190430084010586,50.190430084010586,50.28104354196694,50.32949270901736,50.479311499977484,50.55931291700108,m,1,0.06889275001594797,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
54,valid,right,150,150,1000,25,25,0,m,1,0.12394108303124085,None,0,25,25,53,50.57045395899331,,,,,,,,,50.56029612501152,50.57045395899331,50.57045395899331,50.57045395899331,51.05703054199694,51.06308983400231,51.06308983400231,51.06308983400231,51.15702024998609,51.19617345900042,51.35729725001147,51.49273695901502,m,1,0.12394108303124085,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
23,valid,right,50,150,1000,26,26,0,m,1,0.23149416700471193,None,0,26,26,22,51.50376904197037,,,,,,,,,51.49378700001398,51.50376904197037,51.50376904197037,51.50376904197037,51.990350333973765,51.99646145896986,51.99646145896986,51.99646145896986,52.090410624979995,52.0291079999879,52.19088487501722,52.425551249994896,m,1,0.23149416700471193,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
60,invalid,right,150,150,1000,27,27,0,m,1,0.1936118329758756,None,0,27,27,59,52.43780608399538,,,,,,,,,52.429655875021126,52.43780608399538,52.43780608399538,52.43780608399538,52.92361987498589,52.92876470898045,52.92876470898045,52.92876470898045,53.0238561250153,53.06206666701473,53.22373366699321,53.42607012501685,m,1,0.1936118329758756,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
29,valid,right,100,150,1000,28,28,0,m,1,0.1503097499953583,None,0,28,28,28,53.44033991696779,,,,,,,,,53.43106137501309,53.44033991696779,53.44033991696779,53.44033991696779,53.92358875001082,53.92933658399852,53.92933658399852,53.92933658399852,54.02408754196949,54.01254862500355,54.17399924999336,54.331063834019005,m,1,0.1503097499953583,None,P4,001,2025-11-18_13h57.00.189,PosnerCueing_SoloProject,,2025.1.1,None,2025-11-18 13h57.13.149207 +0530,
