trialNum,validity,targetSide,cueDur_ms,SOA_ms,targetDur_ms,thisN,thisTrialN,thisRepN,response_key.keys,response_key.corr,response_key.rt,response_key.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instructions.started,instructions_text.started,instr_key.started,Instructions.stopped,instr_key.keys,instr_key.rt,instr_key.duration,trial.started,left_box.started,right_box.started,fixation.started,cue_arrow.started,left_box.stopped,right_box.stopped,fixation.stopped,cue_arrow.stopped,target.started,response_key.started,trial.stopped,trials.response_key.keys,trials.response_key.corr,trials.response_key.rt,trials.response_key.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,valid,left,50,150,1000,33,33,0,z,1,0.21179416601080447,None,0,33,33,49,33.5238263750216,,,,,,,,,33.51522579201264,33.5238263750216,33.5238263750216,33.5238263750216,34.01112829201156,34.01826954202261,34.01826954202261,34.01826954202261,34.058608458028175,34.11047541699372,34.20933749998221,34.427453082986176,z,1,0.21179416601080447,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
56,invalid,right,100,150,1000,34,34,0,m,1,0.3026972080115229,None,0,34,34,55,34.43851308297599,,,,,,,,,34.42862837499706,34.43851308297599,34.43851308297599,34.43851308297599,34.92628800001694,34.93585754203377,34.93585754203377,34.93585754203377,35.0192066670279,35.026630542008206,35.17657137499191,35.487839707988314,m,1,0.3026972080115229,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
90,invalid,left,150,150,1000,35,35,0,z,1,0.09836799901677296,None,0,35,35,89,35.5006967500085,,,,,,,,,35.4913700420293,35.5006967500085,35.5006967500085,35.5006967500085,35.98577862500679,35.99202320800396,35.99202320800396,35.99202320800396,36.12574412499089,36.08561983302934,36.28587612498086,36.38722387503367,z,1,0.09836799901677296,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
10,valid,right,50,150,1000,36,36,0,m,1,0.38939512497745454,None,0,36,36,9,36.399187250004616,,,,,,,,,36.388234707992524,36.399187250004616,36.399187250004616,36.399187250004616,36.88598716701381,36.893106708012056,36.893106708012056,36.893106708012056,36.925318583031185,36.97808237501886,37.08582074998412,37.477793083002325,m,1,0.38939512497745454,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
94,valid,right,50,150,1000,37,37,0,z,1,0.09439108305377886,None,0,37,37,93,37.489421874983236,,,,,,,,,37.47875050001312,37.489421874983236,37.489421874983236,37.489421874983236,37.9764142499771,37.985725832986645,37.985725832986645,37.985725832986645,38.019232082995586,38.07755570800509,38.175665249989834,38.27786841703346,z,1,0.09439108305377886,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
28,valid,right,50,150,1000,38,38,0,m,1,0.2565623330301605,None,0,38,38,27,38.2888902919949,,,,,,,,,38.27883937500883,38.2888902919949,38.2888902919949,38.2888902919949,38.77638900000602,38.78586791700218,38.78586791700218,38.78586791700218,38.819378458021674,38.87717941700248,38.97554516699165,39.23785591701744,m,1,0.2565623330301605,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
13,invalid,left,50,150,1000,39,39,0,z,1,0.19737158296629786,None,0,39,39,12,39.25037791702198,,,,,,,,,39.23915091698291,39.25037791702198,39.25037791702198,39.25037791702198,39.735799917019904,39.74292074999539,39.74292074999539,39.74292074999539,39.77571016701404,39.83582158299396,39.93584395799553,40.13766095798928,z,1,0.19737158296629786,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
60,invalid,right,150,150,1000,40,40,0,m,1,0.22714966599596664,None,0,40,40,59,40.15387520799413,,,,,,,,,40.14403374999529,40.15387520799413,40.15387520799413,40.15387520799413,40.63567583297845,40.65260487498017,40.65260487498017,40.65260487498017,40.775784166995436,40.735187333018985,40.93605162500171,41.1711896249908,m,1,0.22714966599596664,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
57,valid,left,100,150,1000,41,41,0,z,1,0.26864154200302437,None,0,41,41,56,41.18362937500933,,,,,,,,,41.17224558303133,41.18362937500933,41.18362937500933,41.18362937500933,41.668460083019454,41.67565099999774,41.67565099999774,41.67565099999774,41.75886529200943,41.768796082993504,41.91952954197768,42.194444000022486,z,1,0.26864154200302437,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
43,invalid,right,50,150,1000,42,42,0,m,1,0.48806937399785966,None,0,42,42,42,42.206126916978974,,,,,,,,,42.195564625028055,42.206126916978974,42.206126916978974,42.206126916978974,42.694060750014614,42.70183708303375,42.70183708303375,42.70183708303375,42.74215374997584,42.794338374980725,42.89316641702317,43.387780208024196,m,1,0.48806937399785966,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
86,invalid,left,50,150,1000,43,43,0,z,1,0.3406576670240611,None,0,43,43,85,43.40294212498702,,,,,,,,,43.393001792021096,43.40294212498702,43.40294212498702,43.40294212498702,43.88588570797583,43.89271441701567,43.89271441701567,43.89271441701567,43.92583508300595,43.99061099998653,44.086334332998376,44.437662500014994,z,1,0.3406576670240611,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
67,invalid,right,100,150,1000,44,44,0,m,1,0.5101127079688013,None,0,44,44,66,44.45166991697624,,,,,,,,,44.44224458298413,44.45166991697624,44.45166991697624,44.45166991697624,44.93524195801001,44.94077229202958,44.94077229202958,44.94077229202958,45.02545279200422,45.036031167022884,45.18622191698523,45.70490599999903,m,1,0.5101127079688013,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
89,invalid,left,150,150,1000,45,45,0,z,1,0.22342462500091642,None,0,45,45,88,45.71968062501401,,,,,,,,,45.70928820798872,45.71968062501401,45.71968062501401,45.71968062501401,46.20245166699169,46.2086929170182,46.2086929170182,46.2086929170182,46.342458667000756,46.30251395801315,46.50276037497679,46.727832667005714,z,1,0.22342462500091642,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
96,invalid,left,100,150,1000,46,46,0,z,1,0.3664781659608707,None,0,46,46,95,46.739623332978226,,,,,,,,,46.72878337500151,46.739623332978226,46.739623332978226,46.739623332978226,47.22710324998479,47.23577041702811,47.23577041702811,47.23577041702811,47.319327000004705,47.3271576249972,47.4757297920296,47.844437666994054,z,1,0.3664781659608707,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
68,invalid,right,150,150,1000,47,47,0,m,1,0.2322730000014417,None,0,47,47,67,47.85828866699012,,,,,,,,,47.848353250010405,47.85828866699012,47.85828866699012,47.85828866699012,48.3445485419943,48.35248516697902,48.35248516697902,48.35248516697902,48.48629600001732,48.44388670800254,48.64292454201495,48.87779033300467,m,1,0.2322730000014417,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
46,invalid,right,50,150,1000,48,48,0,m,1,0.32720683299703524,None,0,48,48,45,48.88923666701885,,,,,,,,,48.87885587499477,48.88923666701885,48.88923666701885,48.88923666701885,49.37719274999108,49.385409542010166,49.385409542010166,49.385409542010166,49.4196565420134,49.47882058302639,49.576853208011016,49.91081679199124,m,1,0.32720683299703524,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
76,invalid,right,150,150,1000,49,49,0,m,1,0.10698024899465963,None,0,49,49,75,49.92215662501985,,,,,,,,,49.91178512497572,49.92215662501985,49.92215662501985,49.92215662501985,50.409830083022825,50.419539291993715,50.419539291993715,50.419539291993715,50.55273549997946,50.50190954201389,50.70222550001927,50.811398999998346,m,1,0.10698024899465963,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
15,invalid,right,50,150,1000,50,50,0,m,1,0.21528566599590704,None,0,50,50,14,50.82342074997723,,,,,,,,,50.81236149999313,50.82342074997723,50.82342074997723,50.82342074997723,51.30960550002055,51.31943625002168,51.31943625002168,51.31943625002168,51.35318370797904,51.4110177080147,51.509820999985095,51.727390707994346,m,1,0.21528566599590704,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
40,valid,left,100,150,1000,51,51,0,z,1,0.7762952499906532,None,0,51,51,39,51.73887666699011,,,,,,,,,51.72834245802369,51.73887666699011,51.73887666699011,51.73887666699011,52.22669191699242,52.23609020799631,52.23609020799631,52.23609020799631,52.32736729201861,52.32736729201861,52.47692287497921,53.261546417023055,z,1,0.7762952499906532,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
70,valid,right,100,150,1000,52,52,0,m,1,0.1959728329675272,None,0,52,52,69,53.27462824998656,,,,,,,,,53.26599012501538,53.27462824998656,53.27462824998656,53.27462824998656,53.76142958301352,53.76927945797797,53.76927945797797,53.76927945797797,53.8602144580218,53.8602144580218,54.01013629202498,54.21134645800339,m,1,0.1959728329675272,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
6,valid,right,150,150,1000,53,53,0,m,1,0.1987058740342036,None,0,53,53,5,54.222663082997315,,,,,,,,,54.21230816701427,54.222663082997315,54.222663082997315,54.222663082997315,54.71004391700262,54.71940724999877,54.71940724999877,54.71940724999877,54.85294920799788,54.81226095801685,55.00943566701608,55.21115899999859,m,1,0.1987058740342036,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
64,valid,left,150,150,1000,54,54,0,z,1,0.12401083303848282,None,0,54,54,63,55.22364483302226,,,,,,,,,55.21492041699821,55.22364483302226,55.22364483302226,55.22364483302226,55.702648792008404,55.71997616701992,55.71997616701992,55.71997616701992,55.84253666701261,55.811496416979935,56.01010316697648,56.13775779202115,z,1,0.12401083303848282,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
37,valid,left,100,150,1000,55,55,0,z,1,0.1441136670182459,None,0,55,55,36,56.14957745798165,,,,,,,,,56.13888408301864,56.14957745798165,56.14957745798165,56.14957745798165,56.63616841699695,56.643022916978225,56.643022916978225,56.643022916978225,56.7257492080098,56.73649749998003,56.886188375006896,57.037693792022765,z,1,0.1441136670182459,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
55,valid,left,50,150,1000,56,56,0,z,1,0.31774658302310854,None,0,56,56,54,57.04781412502052,,,,,,,,,57.038806750031654,57.04781412502052,57.04781412502052,57.04781412502052,57.53564516699407,57.5426833750098,57.5426833750098,57.5426833750098,57.57587624998996,57.63641758298036,57.736328792001586,58.061498292023316,z,1,0.31774658302310854,None,P2,001,2025-11-17_17h44.43.188,PosnerCueing_SoloProject,,2025.1.1,119.96928880137558,2025-11-17 17h44.51.903956 +0530,
